title,year,plot,genres,combined_rating,imdb_id,vote_count,director,stars,genres_list,genres_clean,director_list,director_clean,stars_list,stars_clean,plot_clean,content_features
Sleepers,1996,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge.","['Crime', 'Drama', 'Thriller']",7.5,tt0117665,244770.0,['Barry Levinson'],"['Robert De Niro', 'Kevin Bacon', 'Brad Pitt', 'Jason Patric']","['Crime', 'Drama', 'Thriller']","Crime, Drama, Thriller",['Barry Levinson'],Barry Levinson,"['Robert De Niro', 'Kevin Bacon', 'Brad Pitt', 'Jason Patric']","Robert De Niro, Kevin Bacon, Brad Pitt, Jason Patric","After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge.","After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge. Crime, Drama, Thriller Barry Levinson Robert De Niro, Kevin Bacon, Brad Pitt, Jason Patric"
Lost Highway,1997,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.","['Mystery', 'Thriller']",7.6,tt0116922,162612.0,['David Lynch'],"['Bill Pullman', 'Patricia Arquette', 'John Roselius', 'Louis Eppolito']","['Mystery', 'Thriller']","Mystery, Thriller",['David Lynch'],David Lynch,"['Bill Pullman', 'Patricia Arquette', 'John Roselius', 'Louis Eppolito']","Bill Pullman, Patricia Arquette, John Roselius, Louis Eppolito","Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.","Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray. Mystery, Thriller David Lynch Bill Pullman, Patricia Arquette, John Roselius, Louis Eppolito"
Sense and Sensibility,1995,"When Mr. Dashwood (Tom Wilkinson) dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and their three daughters Elinor (Dame Emma Thompson), Marianne (Kate Winslet), and Margaret (Emilie François), in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars (Hugh Grant), his family disapproves and separates them. And though Mrs. Jennings (Elizabeth Spriggs) tries to match the worthy (and rich) Colonel Brandon (Alan Rickman) to her, Marianne finds the dashing and fiery John Willoughby (Greg Wise) more to her taste. Both relationships are sorely tried.","['Drama', 'Romance']",7.7,tt0114388,131132.0,['Ang Lee'],"['Emma Thompson', 'Kate Winslet', 'James Fleet', 'Tom Wilkinson']","['Drama', 'Romance']","Drama, Romance",['Ang Lee'],Ang Lee,"['Emma Thompson', 'Kate Winslet', 'James Fleet', 'Tom Wilkinson']","Emma Thompson, Kate Winslet, James Fleet, Tom Wilkinson","When Mr. Dashwood (Tom Wilkinson) dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and their three daughters Elinor (Dame Emma Thompson), Marianne (Kate Winslet), and Margaret (Emilie François), in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars (Hugh Grant), his family disapproves and separates them. And though Mrs. Jennings (Elizabeth Spriggs) tries to match the worthy (and rich) Colonel Brandon (Alan Rickman) to her, Marianne finds the dashing and fiery John Willoughby (Greg Wise) more to her taste. Both relationships are sorely tried.","When Mr. Dashwood (Tom Wilkinson) dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and their three daughters Elinor (Dame Emma Thompson), Marianne (Kate Winslet), and Margaret (Emilie François), in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars (Hugh Grant), his family disapproves and separates them. And though Mrs. Jennings (Elizabeth Spriggs) tries to match the worthy (and rich) Colonel Brandon (Alan Rickman) to her, Marianne finds the dashing and fiery John Willoughby (Greg Wise) more to her taste. Both relationships are sorely tried. Drama, Romance Ang Lee Emma Thompson, Kate Winslet, James Fleet, Tom Wilkinson"
Die Hard: With a Vengeance,1995,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.","['Action', 'Adventure', 'Thriller']",7.6,tt0112864,419661.0,['John McTiernan'],"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson', 'Graham Greene']","['Action', 'Adventure', 'Thriller']","Action, Adventure, Thriller",['John McTiernan'],John McTiernan,"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson', 'Graham Greene']","Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene","John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.","John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building. Action, Adventure, Thriller John McTiernan Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene"
Dead Man,1995,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.","['Adventure', 'Drama', 'Fantasy']",7.5,tt0112817,105937.0,['Jim Jarmusch'],"['Johnny Depp', 'Gary Farmer', 'Crispin Glover', 'Lance Henriksen']","['Adventure', 'Drama', 'Fantasy']","Adventure, Drama, Fantasy",['Jim Jarmusch'],Jim Jarmusch,"['Johnny Depp', 'Gary Farmer', 'Crispin Glover', 'Lance Henriksen']","Johnny Depp, Gary Farmer, Crispin Glover, Lance Henriksen","On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.","On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world. Adventure, Drama, Fantasy Jim Jarmusch Johnny Depp, Gary Farmer, Crispin Glover, Lance Henriksen"
The Bridges of Madison County,1995,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,"['Drama', 'Romance']",7.6,tt0112579,92792.0,['Clint Eastwood'],"['Clint Eastwood', 'Meryl Streep', 'Annie Corley', 'Victor Slezak']","['Drama', 'Romance']","Drama, Romance",['Clint Eastwood'],Clint Eastwood,"['Clint Eastwood', 'Meryl Streep', 'Annie Corley', 'Victor Slezak']","Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak",Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,"Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s. Drama, Romance Clint Eastwood Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak"
Apollo 13,PG,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,"['Adventure', 'Drama', 'History']",7.7,tt0112384,325654.0,['Ron Howard'],"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon', 'Gary Sinise']","['Adventure', 'Drama', 'History']","Adventure, Drama, History",['Ron Howard'],Ron Howard,"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon', 'Gary Sinise']","Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,"NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy. Adventure, Drama, History Ron Howard Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise"
Trois couleurs: Blanc,1994,"After his wife divorces him, a Polish immigrant plots to get even with her.","['Comedy', 'Drama', 'Romance']",7.6,tt0111507,82776.0,['Krzysztof Kieslowski'],"['Zbigniew Zamachowski', 'Julie Delpy', 'Janusz Gajos', 'Jerzy Stuhr']","['Comedy', 'Drama', 'Romance']","Comedy, Drama, Romance",['Krzysztof Kieslowski'],Krzysztof Kieslowski,"['Zbigniew Zamachowski', 'Julie Delpy', 'Janusz Gajos', 'Jerzy Stuhr']","Zbigniew Zamachowski, Julie Delpy, Janusz Gajos, Jerzy Stuhr","After his wife divorces him, a Polish immigrant plots to get even with her.","After his wife divorces him, a Polish immigrant plots to get even with her. Comedy, Drama, Romance Krzysztof Kieslowski Zbigniew Zamachowski, Julie Delpy, Janusz Gajos, Jerzy Stuhr"
Falling Down,1993,An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.,"['Action', 'Crime', 'Drama']",7.6,tt0106856,215831.0,['Joel Schumacher'],"['Michael Douglas', 'Robert Duvall', 'Barbara Hershey', 'Rachel Ticotin']","['Action', 'Crime', 'Drama']","Action, Crime, Drama",['Joel Schumacher'],Joel Schumacher,"['Michael Douglas', 'Robert Duvall', 'Barbara Hershey', 'Rachel Ticotin']","Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin",An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.,"An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them. Action, Crime, Drama Joel Schumacher Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin"
Dazed and Confused,1993,The adventures of high school and junior high students on the last day of school in May 1976.,['Comedy'],7.6,tt0106677,207682.0,['Richard Linklater'],"['Jason London', 'Wiley Wiggins', 'Matthew McConaughey', 'Rory Cochrane']",['Comedy'],Comedy,['Richard Linklater'],Richard Linklater,"['Jason London', 'Wiley Wiggins', 'Matthew McConaughey', 'Rory Cochrane']","Jason London, Wiley Wiggins, Matthew McConaughey, Rory Cochrane",The adventures of high school and junior high students on the last day of school in May 1976.,"The adventures of high school and junior high students on the last day of school in May 1976. Comedy Richard Linklater Jason London, Wiley Wiggins, Matthew McConaughey, Rory Cochrane"
My Cousin Vinny,1992,"Bill Gambini and Stanley Rothenstein are two friends from New York University who just received scholarships to UCLA. They decide to drive through the South. Once they arrive in Alabama, they stop at a local convenience store to pick up a few snacks. But, no sooner than they leave the store, they are arrested. They had thought that they were arrested for shoplifting, but they were arrested for murder and robbery. Worse, they are facing execution for this crime. Bill and Stan do not have enough money for a lawyer, so the good news is that Bill has a lawyer in his family, his cousin, Vincent Laguardia Gambini. The bad news is that Vinny is an inexperienced lawyer who has not been at a trial. So, Vinny has to defend his clients and battle an uncompromising judge, some tough locals, and even his fiancée, Mona Lisa Vito, who just does not know when to shut up, to prove his clients' innocence. But he will soon realize that he is going to need help.","['Comedy', 'Crime']",7.6,tt0104952,149192.0,['Jonathan Lynn'],"['Joe Pesci', 'Marisa Tomei', 'Ralph Macchio', 'Mitchell Whitfield']","['Comedy', 'Crime']","Comedy, Crime",['Jonathan Lynn'],Jonathan Lynn,"['Joe Pesci', 'Marisa Tomei', 'Ralph Macchio', 'Mitchell Whitfield']","Joe Pesci, Marisa Tomei, Ralph Macchio, Mitchell Whitfield","Bill Gambini and Stanley Rothenstein are two friends from New York University who just received scholarships to UCLA. They decide to drive through the South. Once they arrive in Alabama, they stop at a local convenience store to pick up a few snacks. But, no sooner than they leave the store, they are arrested. They had thought that they were arrested for shoplifting, but they were arrested for murder and robbery. Worse, they are facing execution for this crime. Bill and Stan do not have enough money for a lawyer, so the good news is that Bill has a lawyer in his family, his cousin, Vincent Laguardia Gambini. The bad news is that Vinny is an inexperienced lawyer who has not been at a trial. So, Vinny has to defend his clients and battle an uncompromising judge, some tough locals, and even his fiancée, Mona Lisa Vito, who just does not know when to shut up, to prove his clients' innocence. But he will soon realize that he is going to need help.","Bill Gambini and Stanley Rothenstein are two friends from New York University who just received scholarships to UCLA. They decide to drive through the South. Once they arrive in Alabama, they stop at a local convenience store to pick up a few snacks. But, no sooner than they leave the store, they are arrested. They had thought that they were arrested for shoplifting, but they were arrested for murder and robbery. Worse, they are facing execution for this crime. Bill and Stan do not have enough money for a lawyer, so the good news is that Bill has a lawyer in his family, his cousin, Vincent Laguardia Gambini. The bad news is that Vinny is an inexperienced lawyer who has not been at a trial. So, Vinny has to defend his clients and battle an uncompromising judge, some tough locals, and even his fiancée, Mona Lisa Vito, who just does not know when to shut up, to prove his clients' innocence. But he will soon realize that he is going to need help. Comedy, Crime Jonathan Lynn Joe Pesci, Marisa Tomei, Ralph Macchio, Mitchell Whitfield"
